genius;ingenious
near;nearly
residence;residents
believes;beliefs
per cent;percentage
worse;deteriorate
forecast;predict
influence on;effect on;to affect on;impact on
dangerous;threatening
amount;number
such as;like
learn;study
illness;disease
raise;rise
damage;violate
species;kinds
say;speak;tell
visited;frequented
suggest;offer
mean;signify
worthy;suitable;appropriate
connection;correlation
possible;permissible
percentage;proportion;percent
attractive;appealing
ban;prohibit
save;preserve
questions;issues;concerns
check;revise
highlight;bring to light
food;nutrition
urgent;important
grow up;bring up
stay;remain;continue
lessen;decrease
give;provide
theme;topic
solution;remedy
conducted;undertaken
although;however
appeal;attract
create;establish
face;experience
haphazard;reckless
ensure;assure
investigate;find out
possibility;chance
natives;residents
discuss;argue
involve;engage
near;nearly
adopted;adapted
activities;actions
traumas;injuries
then;than
basis;basics
another;other
economy;economics;economical;economic
framed;limited
between;among
quite;quiet
quantity;amount;number
overstep;exceed
a few;few
offending;offensive
accept;except;apart from
keep;adhere to
form;account for
prognosis;forecast
worsen;deteriorate
need;require
evidence;basis
although;meanwhile
possibility;opportunity
achieve;reach
jump to;soar to
take place;take part
decision;solution
provide;promote
take;account for
similar;the same
met;hosted
ultimately;finally
institute;institution
between;among
also;moreover
obstacles;troubles
defeat;cope with
recognize;understand
Clearly;Undoubtedly
Then;Moreover
based;placed
due to;according to
part;proportion;portion
show;demonstrate
refuse;get rid of
save;improve
connected;associated
number;proportion;quantity;part
elder;elderly
in spite of;despite
gadgets;devices
distance;route
path;sequence
specification;peculiarity
refuse;deny
consider;think;believe
spending;consumption
needed;wanted
show;reveal
remind;recall
good;sufficient
meanwhile;whereas
consist of;comprise;compose
part;share
solve;resolve
have;provide
be;occur
possibilities;opportunities
represent;demonstrate
relatively;correspondingly
project;predict
share;percentage
different;various
percent;percentage
available;accessible
sitting;sedentary
appliances;facilities;equipment
be against- object to
encourage;support
limit;restrict
contrary;opposite
decide;resolve
possibilities;capabilities
due to;thanks to
irrelevant;wrong
give;submit
stability;plateau
than;then
mix;interact
argue about;debate on
original;initial
connected with;linked to
otherwise;however
concrete;specific
position;attitude
enough;sufficient
connected with;concerning
realize;understand
confident;sure
unexpected;unpredictable
the same;equal
productive;fruitful
viewed;noticeable
encounter;face
hesitate;fluctuate
accordingly;respectively
more;higher
confine;limit;restrict
frames;limitations
amount;ratio
remember;remind;recall
mentioned;aforementioned
seen;noticed
establish;determine
life length;life expectancy
in the end of;at the end of
look for;look after